eegRawValue,attention,meditation,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,Value
-7,90,40,1616977,103148,30523,16748996,21637,16763854,4704,2422,Tag0,A
381,90,40,1070209,23825,5475,4962,3805,624,549,16777200,Tag0,A
-262,83,41,91593,16750881,13926,7241,6868,2117,2333,1554,Tag0,A
0,75,51,2448397,81933,25610,16750678,20250,15532,2936,720,Tag0,A
3,50,43,954498,442725,56268,16765073,16756558,14445,11899,1023,Tag0,A
-262,53,54,1571818,16759369,16752132,18557,29200,6102,13280,1108,Tag0,A
4,64,53,118314,16774834,16251,24620,21531,8635,7195,1694,Tag0,A
49,61,41,70092,44933,15850,12130,11025,12478,10140,1965,Tag0,A
61,81,47,93555,77398,12348,29597,7982,12332,3723,4479,Tag0,A
-307,81,27,28176,67272,5323,5671,4480,4232,6269,2229,Tag0,A
24,66,40,1141889,16767146,22434,16763682,5946,3689,2558,444,Tag0,A
-411,54,53,505178,84620,16763042,9099,13987,4744,5283,2879,Tag0,A
397,44,53,132984,21522,1306,11635,3108,1815,605,16777131,Tag0,A
76,40,66,400776,21811,9417,3290,3782,1361,1058,365,Tag0,A
-1223,40,47,525636,607765,75723,16750280,18843,22190,6016,1830,Tag0,A
91,63,34,1147753,218552,16751343,25767,66396,87239,4532,7608,Tag0,A
-283,60,23,1163266,43738,21891,6030,10157,6083,1180,223,Tag0,A
58,50,13,309372,290822,16764710,3293,4940,6565,4117,1209,Tag0,A
17,53,1,146907,74847,1100,2149,1020,3088,2230,555,Tag0,A
28,27,3,93468,77407,4496,8563,6016,3499,4000,4317,Tag0,A
41,41,29,12321,6565,21227,9413,1920,5340,4688,2786,Tag0,A
102,56,47,6981,23712,10484,6845,2909,2446,3756,2046,Tag0,A
55,61,83,16773446,20167,16763129,4795,5400,4623,3588,1536,Tag0,A
32,77,88,24820,16760100,13074,6834,6847,10060,4044,2531,Tag0,A
-276,75,75,17160,30887,18497,6340,7758,6692,5742,1904,Tag0,A
60,93,74,10222,13408,9560,1291,2410,6616,4532,1839,Tag0,A
71,100,48,73498,16753099,3953,5140,4495,7211,6847,1229,Tag0,A
5,100,50,29299,21918,6573,2382,2947,4513,9643,2469,Tag0,A
12,100,53,31416,20572,11404,14877,4366,4910,8255,2270,Tag0,A
-289,100,50,18251,23126,10419,3517,15842,7684,4193,1952,Tag0,A
27,100,60,6224,16516,4843,5867,2825,5422,2807,2590,Tag0,A
54,93,56,22590,16759500,5341,7941,9624,4196,10167,1493,Tag0,A
55,93,56,17654,18009,1082,22304,4529,4072,6944,739,Tag0,A
309,70,57,266831,16331,5662,2236,3373,656,531,937,Tag0,A
